"reporting_year","station_eu_code","date","PM2.5"
2020,"IT1993A",2020-04-10,3.7037
2020,"IT1993A",2020-04-11,2.7269
2020,"IT1993A",2020-04-12,2.9915
2020,"IT1993A",2020-04-13,4.7416
2020,"IT1993A",2020-04-14,4.009
2020,"IT1993A",2020-04-15,6.4917
2020,"IT1993A",2020-04-16,6.9394
2020,"IT1993A",2020-04-17,7.733
2020,"IT1993A",2020-04-18,5.3521
2020,"IT1993A",2020-04-19,3.7037
2020,"IT1993A",2020-04-20,4.7416
2020,"IT1993A",2020-04-21,3.8869
2020,"IT1993A",2020-04-22,4.4974
2020,"IT1993A",2020-04-23,4.7823
2020,"IT1993A",2020-04-24,2.5641
2020,"IT1993A",2020-04-25,3.3578
2020,"IT1993A",2020-04-26,2.6252
2020,"IT1993A",2020-04-27,4.7416
2020,"IT1993A",2020-04-28,3.9683
2020,"IT1993A",2020-04-29,3.5613
2020,"IT1993A",2020-04-30,1.8722
2020,"IT1993A",2020-05-01,5.4335
2020,"IT1993A",2020-05-02,4.4363
2020,"IT1993A",2020-05-03,2.9711
2020,"IT1993A",2020-05-04,4.4567
2020,"IT1993A",2020-05-05,6.1457
2020,"IT1993A",2020-05-06,3.8462
2020,"IT1993A",2020-05-07,4.6398
2020,"IT1993A",2020-05-08,4.0497
2020,"IT1993A",2020-05-09,5.4335
2020,"IT1993A",2020-05-10,6.2678
2020,"IT1993A",2020-05-11,3.1339
2020,"IT1993A",2020-05-12,4.823
2020,"IT1993A",2020-05-13,3.2153
2020,"IT1993A",2020-05-14,3.9886
2020,"IT1993A",2020-05-15,2.4013
2020,"IT1993A",2020-05-16,5.5149
2020,"IT1993A",2020-05-17,15.4457
2020,"IT1993A",2020-05-18,5.1079
2020,"IT1993A",2020-05-19,2.8083
2020,"IT1993A",2020-05-20,2.3403
2020,"IT1993A",2020-05-21,3.8462
2020,"IT1993A",2020-05-22,4.3346
2020,"IT1993A",2020-05-23,3.0118
2020,"IT1993A",2020-05-24,5.1282
2020,"IT1993A",2020-05-25,3.0118
2020,"IT1993A",2020-05-26,4.5991
2020,"IT1993A",2020-05-27,3.7444
2020,"IT1993A",2020-05-28,2.2792
2020,"IT1993A",2020-05-29,2.9508
2020,"IT1993A",2020-05-30,2.2792
2020,"IT1993A",2020-06-01,4.5584
2020,"IT1993A",2020-06-02,3.9886
2020,"IT1993A",2020-06-03,4.0904
2020,"IT1993A",2020-06-04,4.3549
2020,"IT1993A",2020-06-05,3.4854
2020,"IT1993A",2020-06-06,2.7473
2020,"IT1993A",2020-06-07,4.1292
2020,"IT1993A",2020-06-08,8.14
2020,"IT1993A",2020-06-09,3.2764
2020,"IT1993A",2020-06-10,3.195
2020,"IT1993A",2020-06-11,2.4624
2020,"IT1993A",2020-06-12,5.637
2020,"IT1993A",2020-06-13,4.1107
2020,"IT1993A",2020-06-14,3.9072
2020,"IT1993A",2020-06-15,2.8083
2020,"IT1993A",2020-06-16,3.3374
2020,"IT1993A",2020-06-17,3.3578
2020,"IT1993A",2020-06-18,3.5002
2020,"IT1993A",2020-06-19,2.4624
2020,"IT1993A",2020-06-20,3.0322
2020,"IT1993A",2020-06-21,5.291
2020,"IT1993A",2020-06-22,3.7648
2020,"IT1993A",2020-06-23,4.5381
2020,"IT1993A",2020-06-24,5.9015
2020,"IT1993A",2020-06-25,3.663
2020,"IT1993A",2020-06-26,2.9711
2020,"IT1993A",2020-06-27,5.7998
2020,"IT1993A",2020-06-28,5.7794
2020,"IT1993A",2020-06-29,3.4188
2020,"IT1993A",2020-06-30,6.2068
2020,"IT1575A",2020-01-01,8.547
2020,"IT1575A",2020-01-02,8.8116
2020,"IT1575A",2020-01-03,9.5238
2020,"IT1575A",2020-01-04,7.5702
2020,"IT1575A",2020-01-05,7.4278
2020,"IT1575A",2020-01-06,6.5731
2020,"IT1575A",2020-01-07,6.858
2020,"IT1575A",2020-01-08,6.2882
2020,"IT1575A",2020-01-09,6.044
2020,"IT1575A",2020-01-10,11.9658
2020,"IT1575A",2020-01-11,12.0269
2020,"IT1575A",2020-01-12,6.7766
2020,"IT1575A",2020-01-13,13.777
2020,"IT1575A",2020-01-14,10.928
2020,"IT1575A",2020-01-15,15.4253
2020,"IT1575A",2020-01-16,17.5824
2020,"IT1575A",2020-01-17,15.5178
2020,"IT1575A",2020-01-20,2.9304
2020,"IT1575A",2020-01-21,8.14
2020,"IT1575A",2020-01-22,11.5588
2020,"IT1575A",2020-01-23,10.5413
2020,"IT1575A",2020-01-24,13.5735
2020,"IT1575A",2020-01-25,21.0012
2020,"IT1575A",2020-01-26,24.7049
