"reporting_year","station_eu_code","date","PM2,5"
2020,"IT0862A",2020-03-18,16
2020,"IT0862A",2020-03-19,16
2020,"IT0862A",2020-03-20,22
2020,"IT0862A",2020-03-21,19
2020,"IT0862A",2020-03-22,13
2020,"IT0862A",2020-03-23,6
2020,"IT0862A",2020-03-24,10
2020,"IT0862A",2020-03-25,8
2020,"IT0862A",2020-03-26,8
2020,"IT0862A",2020-03-27,13
2020,"IT0862A",2020-03-28,35
2020,"IT0862A",2020-03-29,21
2020,"IT0862A",2020-03-30,13
2020,"IT0862A",2020-03-31,5
2020,"IT0862A",2020-04-01,10
2020,"IT0862A",2020-04-02,10
2020,"IT0862A",2020-04-03,12
2020,"IT0862A",2020-04-04,13
2020,"IT0862A",2020-04-05,12
2020,"IT0862A",2020-04-06,18
2020,"IT0862A",2020-04-07,17
2020,"IT0862A",2020-04-08,13
2020,"IT0862A",2020-04-09,14
2020,"IT0862A",2020-04-10,16
2020,"IT0862A",2020-04-11,15
2020,"IT0862A",2020-04-12,13
2020,"IT0862A",2020-04-13,14
2020,"IT0862A",2020-04-14,10
2020,"IT0862A",2020-04-15,6
2020,"IT0862A",2020-04-16,9
2020,"IT0862A",2020-04-17,10
2020,"IT0862A",2020-04-18,13
2020,"IT0862A",2020-04-19,15
2020,"IT0862A",2020-04-20,7
2020,"IT0862A",2020-04-21,8
2020,"IT0862A",2020-04-22,11
2020,"IT0862A",2020-04-23,14
2020,"IT0862A",2020-04-24,16
2020,"IT0862A",2020-04-25,11
2020,"IT0862A",2020-04-26,9
2020,"IT0862A",2020-04-27,8
2020,"IT0862A",2020-04-28,6
2020,"IT0862A",2020-04-29,6
2020,"IT0862A",2020-04-30,6
2020,"IT0862A",2020-05-01,5
2020,"IT0862A",2020-05-02,6
2020,"IT0862A",2020-05-03,4
2020,"IT0862A",2020-05-04,5
2020,"IT0862A",2020-05-05,6
2020,"IT0862A",2020-05-06,6
2020,"IT0862A",2020-05-07,6
2020,"IT0862A",2020-05-08,8
2020,"IT0862A",2020-05-09,7
2020,"IT0862A",2020-05-10,8
2020,"IT0862A",2020-05-11,6
2020,"IT0862A",2020-05-12,5
2020,"IT0862A",2020-05-13,8
2020,"IT0862A",2020-05-14,12
2020,"IT0862A",2020-05-15,7
2020,"IT0862A",2020-05-16,6
2020,"IT0862A",2020-05-17,9
2020,"IT0862A",2020-05-18,11
2020,"IT0862A",2020-05-19,15
2020,"IT0862A",2020-05-21,8
2020,"IT0862A",2020-05-22,9
2020,"IT0862A",2020-05-23,8
2020,"IT0862A",2020-05-24,7
2020,"IT0862A",2020-05-25,5
2020,"IT0862A",2020-05-26,4
2020,"IT0862A",2020-05-27,4
2020,"IT0862A",2020-05-28,5
2020,"IT0862A",2020-05-29,3
2020,"IT0862A",2020-05-30,6
2020,"IT0862A",2020-05-31,8
2020,"IT0862A",2020-06-01,5
2020,"IT0862A",2020-06-02,7
2020,"IT0862A",2020-06-03,7
2020,"IT0862A",2020-06-04,6
2020,"IT0862A",2020-06-05,7
2020,"IT0862A",2020-06-06,6
2020,"IT0862A",2020-06-07,5
2020,"IT0862A",2020-06-08,5
2020,"IT0862A",2020-06-09,6
2020,"IT0862A",2020-06-10,4
2020,"IT0862A",2020-06-11,6
2020,"IT0862A",2020-06-12,7
2020,"IT0862A",2020-06-13,7
2020,"IT0862A",2020-06-14,4
2020,"IT0862A",2020-06-15,8
2020,"IT0862A",2020-06-16,7
2020,"IT0862A",2020-06-17,7
2020,"IT0862A",2020-06-18,5
2020,"IT0862A",2020-06-19,5
