"reporting_year","station_eu_code","date","CO"
2020,"IT1243A",2020-04-19,0.0799
2020,"IT1243A",2020-04-20,0.1359
2020,"IT1243A",2020-04-21,0.1703
2020,"IT1243A",2020-04-22,0.1775
2020,"IT1243A",2020-04-23,0.195
2020,"IT1243A",2020-04-24,0.1964
2020,"IT1243A",2020-04-25,0.1918
2020,"IT1243A",2020-04-26,0.1512
2020,"IT1243A",2020-04-27,0.2052
2020,"IT1243A",2020-04-28,0.0733
2020,"IT1243A",2020-04-29,0.1591
2020,"IT1243A",2020-04-30,0.1793
2020,"IT1243A",2020-05-01,0.1442
2020,"IT1243A",2020-05-02,0.1618
2020,"IT1243A",2020-05-03,0.1868
2020,"IT1243A",2020-05-04,0.193
2020,"IT1243A",2020-05-05,0.2278
2020,"IT1243A",2020-05-06,0.1939
2020,"IT1243A",2020-05-07,0.2135
2020,"IT1243A",2020-05-08,0.207
2020,"IT1243A",2020-05-09,0.1742
2020,"IT1243A",2020-05-10,0.1644
2020,"IT1243A",2020-05-11,0.2178
2020,"IT1243A",2020-05-12,0.2279
2020,"IT1243A",2020-05-13,0.2432
2020,"IT1243A",2020-05-14,0.1755
2020,"IT1243A",2020-05-15,0.1932
2020,"IT1243A",2020-05-16,0.2242
2020,"IT1243A",2020-05-17,0.1521
2020,"IT1243A",2020-05-18,0.2062
2020,"IT1243A",2020-05-19,0.1673
2020,"IT1243A",2020-05-20,0.1783
2020,"IT1243A",2020-05-21,0.2038
2020,"IT1243A",2020-05-22,0.2198
2020,"IT1243A",2020-05-23,0.2392
2020,"IT1243A",2020-05-24,0.1623
2020,"IT1243A",2020-05-25,0.2123
2020,"IT1243A",2020-05-26,0.196
2020,"IT1243A",2020-05-27,0.3056
2020,"IT1243A",2020-05-28,0.2096
2020,"IT1243A",2020-05-29,0.2439
2020,"IT1243A",2020-05-30,0.1444
2020,"IT1243A",2020-05-31,0.1452
2020,"IT1243A",2020-06-01,0.1965
2020,"IT1243A",2020-06-02,0.1782
2020,"IT1243A",2020-06-03,0.2495
2020,"IT1243A",2020-06-04,0.2211
2020,"IT1243A",2020-06-05,0.1364
2020,"IT1243A",2020-06-06,0.1022
2020,"IT1243A",2020-06-07,0.1796
2020,"IT1243A",2020-06-08,0.1495
2020,"IT1243A",2020-06-09,0.1297
2020,"IT1243A",2020-06-10,0.1505
2020,"IT1243A",2020-06-11,0.2358
2020,"IT1243A",2020-06-12,0.2073
2020,"IT1243A",2020-06-13,0.1948
2020,"IT1243A",2020-06-14,0.1388
2020,"IT1243A",2020-06-15,0.161
2020,"IT1243A",2020-06-16,0.1749
2020,"IT1243A",2020-06-17,0.1839
2020,"IT1243A",2020-06-18,0.2182
2020,"IT1243A",2020-06-19,0.2228
2020,"IT1243A",2020-06-20,0.1679
2020,"IT1243A",2020-06-21,0.1567
2020,"IT1243A",2020-06-22,0.1949
2020,"IT1243A",2020-06-23,0.2112
2020,"IT1243A",2020-06-24,0.1591
2020,"IT1243A",2020-06-25,0.1543
2020,"IT1243A",2020-06-26,0.1966
2020,"IT1243A",2020-06-27,0.1498
2020,"IT1243A",2020-06-28,0.1546
2020,"IT1243A",2020-06-29,0.1912
2020,"IT1243A",2020-06-30,0.1751
2020,"IT2009A",2020-01-01,0.2143
2020,"IT2009A",2020-01-02,0.3126
2020,"IT2009A",2020-01-03,0.2565
2020,"IT2009A",2020-01-04,0.2344
2020,"IT2009A",2020-01-05,0.2064
2020,"IT2009A",2020-01-06,0.1297
2020,"IT2009A",2020-01-07,0.23
2020,"IT2009A",2020-01-08,0.1388
2020,"IT2009A",2020-01-09,0.312
2020,"IT2009A",2020-01-10,0.1742
2020,"IT2009A",2020-01-11,0.1719
2020,"IT2009A",2020-01-12,0.1677
2020,"IT2009A",2020-01-13,0.3273
2020,"IT2009A",2020-01-14,0.2628
2020,"IT2009A",2020-01-15,0.171
2020,"IT2009A",2020-01-16,0.2636
2020,"IT2009A",2020-01-17,0.1634
2020,"IT2009A",2020-01-18,0.1818
2020,"IT2009A",2020-01-19,0.1054
2020,"IT2009A",2020-01-20,0.1186
2020,"IT2009A",2020-01-21,0.1235
2020,"IT2009A",2020-01-22,0.1344
2020,"IT2009A",2020-01-23,0.1877
2020,"IT2009A",2020-01-24,0.2043
2020,"IT2009A",2020-01-25,0.1836
2020,"IT2009A",2020-01-26,0.2682
2020,"IT2009A",2020-01-27,0.1768
2020,"IT2009A",2020-01-28,0.1723
2020,"IT2009A",2020-01-29,0.169
2020,"IT2009A",2020-01-30,0.2572
2020,"IT2009A",2020-01-31,0.1687
2020,"IT2009A",2020-02-01,0.1668
2020,"IT2009A",2020-02-02,0.1693
2020,"IT2009A",2020-02-03,0.2131
2020,"IT2009A",2020-02-04,0.1448
2020,"IT2009A",2020-02-05,0.1237
